person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
41,99214,MORTGAGE,0.2,PERSONAL,D,29755,13.63,0.61,N,7,0
63,23263,RENT,6.4,MEDICAL,D,1567,14.81,0.4,N,21,0
44,78293,MORTGAGE,0.7,DEBTCONSOLIDATION,B,13901,11.1,0.35,N,4,1
46,40805,MORTGAGE,3.9,MEDICAL,C,13972,17.11,0.29,N,4,0
61,106679,OWN,1.7,PERSONAL,A,33647,21.37,0.07,N,17,0
47,26874,RENT,0.5,MEDICAL,C,26360,19.33,0.17,N,3,0
35,108065,RENT,2.1,MEDICAL,A,20631,13.62,0.53,N,5,0
34,101402,RENT,0.1,EDUCATION,B,5696,22.38,0.41,Y,10,1
63,29079,OTHER,7.4,EDUCATION,A,22016,22.94,0.06,N,8,0
22,64850,OWN,2.9,PERSONAL,B,22924,14.18,0.45,N,4,0
56,87779,OWN,0.6,PERSONAL,B,14381,20.79,0.04,Y,25,1
26,110408,OWN,1.1,DEBTCONSOLIDATION,B,31093,5.48,0.42,N,14,0
40,24018,OTHER,2.4,DEBTCONSOLIDATION,A,5759,6.59,0.8,N,15,0
28,64500,RENT,0.8,MEDICAL,B,25350,,0.26,N,10,1
58,27100,RENT,,HOMEIMPROVEMENT,D,32093,19.16,0.6,N,2,0
37,72021,RENT,3.1,PERSONAL,B,10961,6.82,0.62,N,13,0
23,34800,OWN,,MEDICAL,D,28184,5.7,0.34,Y,2,1
44,78400,OWN,2.1,HOMEIMPROVEMENT,B,30324,8.02,0.49,N,10,0
33,107446,MORTGAGE,5.0,EDUCATION,B,3887,10.85,0.39,Y,26,0
28,44437,OTHER,8.4,DEBTCONSOLIDATION,C,22326,13.67,0.24,N,8,0
45,118124,OTHER,1.0,PERSONAL,F,15053,6.56,0.63,N,4,0
21,91537,OWN,6.6,MEDICAL,A,7459,14.28,0.58,Y,5,0
39,61675,MORTGAGE,5.7,EDUCATION,A,29879,9.82,0.75,N,8,0
47,34942,RENT,1.8,VENTURE,C,23174,10.28,0.51,N,26,0
26,35862,OWN,18.2,EDUCATION,F,10059,20.03,0.32,N,16,0
63,26669,OTHER,1.2,MEDICAL,G,32752,22.97,0.59,N,25,0
27,68772,OTHER,1.2,DEBTCONSOLIDATION,B,26604,13.66,0.51,Y,25,1
54,30916,OTHER,5.9,HOMEIMPROVEMENT,B,1051,11.13,0.51,N,2,0
33,25878,RENT,2.3,VENTURE,C,633,21.98,0.71,N,7,0
36,17985,OTHER,1.6,VENTURE,C,7107,14.31,0.76,N,23,1
55,112905,RENT,0.8,DEBTCONSOLIDATION,C,11603,18.4,0.15,N,6,0
59,88648,RENT,5.8,VENTURE,E,30358,12.76,0.26,N,12,0
23,56235,RENT,6.2,PERSONAL,D,13872,9.01,0.54,N,18,0
21,33931,OWN,3.3,MEDICAL,B,34328,17.06,0.46,N,4,0
25,107876,RENT,12.6,VENTURE,B,14548,17.23,0.54,Y,13,0
61,15336,MORTGAGE,1.5,EDUCATION,C,30923,13.59,0.36,N,21,0
23,57933,OTHER,1.0,HOMEIMPROVEMENT,B,19070,10.21,0.34,Y,11,0
48,99899,OWN,4.5,MEDICAL,B,19549,20.21,0.1,N,8,0
37,60536,OTHER,5.7,DEBTCONSOLIDATION,A,11419,10.3,0.52,N,16,0
45,84504,RENT,1.0,EDUCATION,A,32180,17.13,0.15,Y,22,0
63,114214,OWN,0.3,PERSONAL,B,16803,12.23,0.56,N,19,0
53,66148,MORTGAGE,6.7,VENTURE,D,18048,13.81,0.8,N,20,0
29,31279,RENT,15.0,EDUCATION,B,17501,,0.21,Y,2,1
55,83665,OTHER,4.1,MEDICAL,C,33199,16.96,0.12,Y,23,1
33,118751,MORTGAGE,1.3,EDUCATION,B,29220,9.42,0.02,N,14,0
50,119433,RENT,22.8,PERSONAL,A,33718,14.05,0.31,N,25,0
34,86386,MORTGAGE,8.9,HOMEIMPROVEMENT,F,10490,11.25,0.18,N,5,0
27,101124,RENT,2.9,VENTURE,E,13278,22.55,0.41,Y,19,0
33,92485,OWN,7.0,MEDICAL,A,22412,22.88,0.44,N,13,0
42,89055,RENT,6.8,VENTURE,D,27298,18.81,0.29,N,5,1
59,106911,OWN,10.9,VENTURE,B,4308,22.91,0.62,N,27,0
40,113618,RENT,7.4,DEBTCONSOLIDATION,G,9976,7.42,0.75,N,5,0
35,92273,RENT,4.1,VENTURE,B,17106,23.06,0.18,N,6,0
64,81670,OTHER,3.8,EDUCATION,A,29440,7.24,0.69,N,20,0
37,91474,MORTGAGE,2.5,EDUCATION,C,23837,12.8,0.11,N,10,0
43,69028,MORTGAGE,3.9,HOMEIMPROVEMENT,D,23920,9.65,0.19,N,8,0
45,105022,MORTGAGE,6.3,PERSONAL,A,30090,22.38,0.47,Y,26,0
44,106632,RENT,13.9,MEDICAL,D,29556,16.72,0.25,N,8,0
64,86128,RENT,2.5,EDUCATION,A,2109,16.03,0.03,N,13,0
60,33108,RENT,3.4,VENTURE,E,29797,23.15,0.24,N,11,0
48,67495,OWN,2.4,PERSONAL,A,28366,16.3,0.75,N,21,0
34,97806,OWN,4.4,MEDICAL,E,34491,16.9,0.14,N,22,1
64,108185,OTHER,4.0,MEDICAL,B,2407,6.2,0.63,N,14,0
20,91533,RENT,0.1,MEDICAL,B,15478,20.69,0.6,N,24,0
44,114025,MORTGAGE,3.1,MEDICAL,F,26438,22.67,0.09,N,7,0
26,71830,MORTGAGE,0.4,HOMEIMPROVEMENT,G,11443,22.49,0.27,N,10,0
28,89640,OTHER,0.1,MEDICAL,C,6310,9.34,0.16,N,20,0
43,67509,MORTGAGE,6.3,PERSONAL,A,22632,9.42,0.02,N,25,0
20,81406,OTHER,1.2,EDUCATION,C,18115,11.92,0.14,Y,17,0
63,109220,RENT,1.7,PERSONAL,C,10439,10.92,0.17,N,28,0
27,54519,MORTGAGE,0.3,VENTURE,C,30454,10.84,0.14,N,27,1
43,64649,RENT,0.8,DEBTCONSOLIDATION,C,1237,16.17,0.08,N,12,0
30,49524,OWN,5.8,HOMEIMPROVEMENT,A,21320,19.74,0.44,N,5,1
36,111493,MORTGAGE,2.7,HOMEIMPROVEMENT,D,12821,22.07,0.27,N,26,0
27,48885,OWN,8.5,VENTURE,D,33067,6.61,0.75,N,2,0
54,59369,MORTGAGE,2.0,PERSONAL,A,4918,10.35,0.16,N,22,0
54,116132,RENT,1.3,PERSONAL,C,2486,9.94,0.5,N,13,0
52,110402,OTHER,1.7,VENTURE,C,33614,11.76,0.75,N,5,0
24,45676,RENT,5.0,DEBTCONSOLIDATION,C,34483,12.95,0.04,N,6,1
61,79093,RENT,3.2,MEDICAL,A,22682,12.33,0.43,N,7,0
58,62764,RENT,9.4,MEDICAL,C,32489,22.35,0.37,N,15,0
60,65799,MORTGAGE,3.7,EDUCATION,B,33512,13.18,0.77,N,2,0
47,94414,OTHER,2.7,PERSONAL,C,23942,15.22,0.55,N,9,0
26,108095,OWN,6.2,PERSONAL,D,11743,18.73,0.29,N,16,0
28,87307,RENT,11.8,VENTURE,D,632,18.31,0.59,N,13,0
27,97062,MORTGAGE,1.8,VENTURE,A,16056,15.78,0.48,N,28,0
31,110432,OWN,1.2,MEDICAL,C,18254,20.72,0.29,Y,20,1
53,46923,RENT,3.8,PERSONAL,F,34355,16.51,0.65,N,24,0
52,116739,OWN,2.8,PERSONAL,A,10339,20.97,0.55,Y,8,0
42,119926,RENT,18.1,HOMEIMPROVEMENT,E,20886,10.79,0.0,N,10,0
43,93388,OWN,2.5,EDUCATION,D,14328,7.75,0.72,N,12,0
56,62574,OWN,0.3,EDUCATION,D,23706,19.99,0.33,N,28,0
54,58391,OTHER,15.2,MEDICAL,B,1394,12.21,0.54,Y,24,0
63,68664,OTHER,7.4,DEBTCONSOLIDATION,B,1765,16.99,0.33,N,29,0
59,82384,RENT,0.8,PERSONAL,E,23307,18.52,0.73,N,9,0
41,46027,MORTGAGE,9.4,HOMEIMPROVEMENT,B,31643,11.22,0.54,N,5,0
46,50464,OTHER,1.7,PERSONAL,A,10465,14.39,0.48,Y,11,0
54,49485,OWN,1.9,VENTURE,C,30912,21.33,0.81,Y,21,1
20,34456,OTHER,9.5,MEDICAL,A,32729,21.06,0.23,Y,11,0
54,89795,OTHER,3.0,DEBTCONSOLIDATION,D,33248,18.74,0.05,Y,9,1
56,50554,RENT,0.6,EDUCATION,C,18590,18.98,0.43,N,15,0
33,61922,OTHER,,PERSONAL,E,28541,21.38,0.35,N,5,0
22,28409,OTHER,5.1,DEBTCONSOLIDATION,D,13874,18.51,0.38,Y,21,0
20,84327,OWN,0.8,MEDICAL,A,15875,11.44,0.51,Y,27,0
24,106400,OTHER,3.6,EDUCATION,B,2893,7.55,0.51,Y,4,0
45,51639,OWN,4.8,PERSONAL,D,12302,12.91,0.33,N,29,0
33,115110,OTHER,1.7,HOMEIMPROVEMENT,B,15411,6.95,0.72,N,4,0
58,78627,OTHER,4.7,MEDICAL,F,20564,7.46,0.54,N,28,0
46,98424,MORTGAGE,8.6,PERSONAL,D,11155,22.31,0.74,N,5,0
28,34692,OTHER,2.6,EDUCATION,A,6910,17.43,0.76,N,13,0
34,104037,OWN,1.9,EDUCATION,E,20881,20.56,0.14,Y,19,0
34,93840,OWN,1.2,HOMEIMPROVEMENT,A,34178,16.84,0.56,N,29,0
45,69200,RENT,3.7,MEDICAL,A,23470,12.85,0.26,N,20,0
61,108063,RENT,8.5,MEDICAL,D,26821,5.85,0.69,N,12,0
32,72415,MORTGAGE,1.6,DEBTCONSOLIDATION,E,19007,22.41,0.61,N,29,0
51,33074,OWN,2.0,PERSONAL,C,18735,6.66,0.16,N,19,0
58,30549,OWN,2.1,DEBTCONSOLIDATION,B,13363,16.26,0.78,Y,15,0
51,44963,OWN,3.3,EDUCATION,B,2115,7.22,0.57,N,12,0
23,106456,MORTGAGE,1.0,EDUCATION,B,11082,10.46,0.79,N,15,0
49,111362,OWN,6.9,HOMEIMPROVEMENT,B,27838,8.71,0.17,N,23,1
56,116607,RENT,1.4,HOMEIMPROVEMENT,A,9897,15.26,0.72,N,4,0
42,67265,MORTGAGE,4.9,MEDICAL,C,30155,21.19,0.55,Y,3,0
58,31061,RENT,2.9,DEBTCONSOLIDATION,E,19330,16.71,0.46,N,10,0
64,73226,RENT,3.5,EDUCATION,B,8514,17.22,0.68,Y,9,0
34,43810,MORTGAGE,0.8,PERSONAL,A,3716,21.58,0.53,N,6,0
62,75006,OTHER,5.3,VENTURE,D,22359,18.74,0.56,N,10,0
48,37800,OTHER,0.8,PERSONAL,D,20553,20.81,0.21,N,6,0
55,90476,RENT,0.5,HOMEIMPROVEMENT,F,11722,12.81,0.68,Y,22,0
32,84460,OTHER,3.2,PERSONAL,A,19408,20.8,0.54,N,14,0
51,72767,OWN,4.9,EDUCATION,A,29193,16.9,0.7,N,12,0
26,43054,MORTGAGE,0.2,DEBTCONSOLIDATION,C,24382,,0.29,N,12,0
41,90319,RENT,0.3,MEDICAL,C,14103,6.09,0.28,N,21,0
47,117789,OWN,6.5,DEBTCONSOLIDATION,B,28383,9.74,0.02,N,13,0
21,60397,OTHER,6.6,VENTURE,C,13840,12.13,0.64,N,20,0
61,28233,OWN,1.1,MEDICAL,A,18845,20.31,0.27,Y,14,0
64,105020,OTHER,3.8,VENTURE,B,23187,18.59,0.27,N,27,0
25,40068,RENT,2.3,VENTURE,C,30081,22.41,0.57,N,10,1
47,80727,OWN,4.0,EDUCATION,B,28697,15.35,0.21,N,5,0
47,105610,MORTGAGE,7.9,EDUCATION,C,8792,18.71,0.75,N,8,0
63,85453,RENT,0.3,HOMEIMPROVEMENT,B,3948,10.3,0.45,Y,6,0
63,119135,OWN,6.0,HOMEIMPROVEMENT,B,20128,17.5,0.8,N,8,0
39,40832,OWN,2.7,VENTURE,B,15178,17.97,0.06,N,29,0
49,101242,OTHER,3.3,DEBTCONSOLIDATION,B,26977,20.5,0.28,N,9,0
30,28682,RENT,4.2,HOMEIMPROVEMENT,A,1714,14.95,0.32,N,15,1
47,107298,RENT,10.2,EDUCATION,C,24490,16.95,0.61,N,25,0
44,38383,RENT,0.2,HOMEIMPROVEMENT,D,20510,9.01,0.18,N,11,0
58,73160,RENT,0.1,VENTURE,B,32064,18.51,0.31,Y,7,0
52,108332,OTHER,0.8,MEDICAL,A,25578,20.32,0.76,Y,6,0
20,38666,MORTGAGE,17.2,DEBTCONSOLIDATION,G,672,15.97,0.1,N,16,1
46,73817,RENT,5.0,DEBTCONSOLIDATION,B,17770,7.46,0.62,Y,17,0
32,106198,OTHER,3.8,PERSONAL,A,28608,10.97,0.58,N,28,0
60,49642,MORTGAGE,0.2,HOMEIMPROVEMENT,B,16544,13.86,0.11,N,3,1
22,56830,MORTGAGE,8.5,DEBTCONSOLIDATION,D,6763,17.45,0.57,N,29,0
58,118067,OTHER,6.7,EDUCATION,B,21252,11.1,0.47,N,16,0
25,25234,RENT,4.4,MEDICAL,C,12121,20.36,0.24,Y,9,0
27,72616,MORTGAGE,1.7,EDUCATION,B,7556,12.02,0.26,N,22,0
46,24221,RENT,0.3,HOMEIMPROVEMENT,A,21837,6.16,0.69,N,25,0
28,26410,RENT,3.5,VENTURE,B,14745,19.53,0.19,N,23,0
56,95055,OWN,5.1,PERSONAL,D,33176,16.87,0.43,N,25,0
52,76413,RENT,0.4,PERSONAL,C,760,19.67,0.57,Y,14,0
61,16051,OWN,4.0,MEDICAL,A,1852,11.61,0.11,N,18,0
63,90301,MORTGAGE,1.3,DEBTCONSOLIDATION,A,5743,5.71,0.77,N,16,0
43,91918,OTHER,5.8,DEBTCONSOLIDATION,C,19890,6.71,0.22,Y,26,0
34,93116,OWN,3.1,DEBTCONSOLIDATION,D,28694,,0.26,N,15,0
51,71563,OTHER,0.6,PERSONAL,B,31347,19.73,0.55,N,26,0
51,112859,MORTGAGE,3.0,VENTURE,C,19704,10.77,0.06,N,20,1
43,59757,RENT,2.0,DEBTCONSOLIDATION,A,666,23.16,0.52,Y,14,1
60,92475,MORTGAGE,0.8,EDUCATION,B,21810,18.9,0.76,N,22,0
31,66257,OTHER,7.4,DEBTCONSOLIDATION,A,17939,16.1,0.21,N,29,0
58,110500,MORTGAGE,0.0,VENTURE,D,1754,22.91,0.3,N,8,0
21,15307,RENT,1.5,MEDICAL,B,4786,11.03,0.19,N,9,0
22,71889,MORTGAGE,0.1,MEDICAL,D,8509,8.35,0.68,N,8,0
56,83895,RENT,0.4,PERSONAL,D,4507,18.52,0.14,Y,20,1
36,110184,OWN,1.4,VENTURE,D,15492,,0.29,Y,16,1
21,50944,OTHER,,EDUCATION,B,10223,22.51,0.5,Y,8,1
21,114555,RENT,3.6,VENTURE,A,28604,22.99,0.34,N,18,0
47,53134,RENT,0.4,EDUCATION,F,15090,21.89,0.05,N,22,0
42,42323,MORTGAGE,4.8,EDUCATION,D,16138,22.22,0.79,N,26,0
56,86762,OWN,0.2,VENTURE,D,26048,16.36,0.28,N,19,0
51,102225,RENT,0.2,HOMEIMPROVEMENT,A,12516,17.72,0.37,N,20,0
52,111507,OWN,1.5,VENTURE,B,5244,7.08,0.14,N,26,0
20,40954,OWN,9.1,EDUCATION,D,25181,18.98,0.72,N,4,0
38,70021,MORTGAGE,4.1,DEBTCONSOLIDATION,A,34270,9.0,0.24,N,25,0
21,104959,RENT,5.9,MEDICAL,C,30739,20.36,0.02,N,23,0
63,110927,MORTGAGE,0.6,MEDICAL,B,31394,22.52,0.26,N,8,0
45,94866,OTHER,7.2,PERSONAL,A,30965,9.18,0.82,N,22,0
51,85427,OTHER,0.0,MEDICAL,A,13422,6.79,0.12,N,11,0
25,19992,RENT,1.0,HOMEIMPROVEMENT,B,584,14.01,0.03,N,29,0
51,16961,OWN,3.8,EDUCATION,A,15873,19.49,0.48,N,8,0
23,27497,RENT,1.9,VENTURE,C,5656,19.12,0.31,N,27,0
30,47551,RENT,16.6,VENTURE,A,10153,17.8,0.66,N,12,0
36,91384,OTHER,0.1,HOMEIMPROVEMENT,B,23298,20.01,0.61,N,27,0
57,70755,OTHER,26.3,MEDICAL,E,23568,8.51,0.15,N,4,0
43,28255,OWN,3.9,EDUCATION,B,26173,17.0,0.47,N,28,0
24,19567,OWN,3.3,MEDICAL,B,16655,16.18,0.03,N,22,0
53,63847,RENT,,PERSONAL,D,1070,8.13,0.36,N,23,0
25,119817,MORTGAGE,1.3,MEDICAL,E,16700,12.78,0.59,Y,10,0
41,63003,RENT,10.3,PERSONAL,A,12269,20.58,0.34,N,5,0
30,35389,OWN,1.7,VENTURE,B,19575,22.7,0.1,Y,9,0
35,59523,MORTGAGE,4.3,EDUCATION,C,24553,17.24,0.05,N,25,0
52,76576,OTHER,30.4,DEBTCONSOLIDATION,B,10801,21.81,0.71,N,27,0
28,58919,OWN,1.2,PERSONAL,D,6007,7.75,0.74,Y,23,0
25,97103,OWN,3.4,MEDICAL,F,4155,22.76,0.28,N,13,1
35,18358,MORTGAGE,4.8,MEDICAL,F,16847,6.0,0.14,Y,9,0
48,103535,OWN,0.7,VENTURE,B,22553,14.79,0.81,N,16,0
22,91524,OWN,0.6,HOMEIMPROVEMENT,A,2992,10.58,0.45,N,29,0
39,112057,OWN,2.4,DEBTCONSOLIDATION,F,12804,19.89,0.4,N,15,0
55,20698,OWN,1.9,HOMEIMPROVEMENT,B,31903,9.27,0.62,N,6,0
38,81809,OWN,5.0,MEDICAL,A,11382,5.61,0.14,Y,18,0
45,108079,OWN,0.3,HOMEIMPROVEMENT,D,9011,12.78,0.48,N,21,0
22,70805,OWN,14.3,DEBTCONSOLIDATION,B,21199,6.54,0.74,Y,12,0
38,46349,OWN,0.1,DEBTCONSOLIDATION,B,21678,10.56,0.02,N,23,0
39,91777,OTHER,3.7,EDUCATION,E,18321,16.86,0.56,N,16,0
51,65248,OWN,3.3,HOMEIMPROVEMENT,A,16915,10.65,0.46,N,26,0
26,90033,OTHER,0.6,EDUCATION,A,1214,9.78,0.79,N,14,0
60,113239,OTHER,0.7,MEDICAL,B,9731,8.17,0.21,N,5,0
52,59041,RENT,6.3,MEDICAL,C,17292,7.81,0.71,N,23,0
59,46954,RENT,8.7,MEDICAL,A,7846,14.76,0.26,N,14,0
58,23002,OTHER,1.3,VENTURE,B,24624,17.53,0.36,N,27,0
37,84783,OTHER,2.3,HOMEIMPROVEMENT,C,24548,13.46,0.18,N,14,0
59,102234,OWN,1.8,PERSONAL,D,21915,7.6,0.72,N,12,1
20,34738,RENT,0.3,DEBTCONSOLIDATION,A,18011,16.93,0.16,Y,6,0
30,25703,MORTGAGE,4.5,PERSONAL,D,12531,15.32,0.71,N,26,0
47,64422,RENT,,MEDICAL,A,11715,12.19,0.38,N,27,0
44,98106,OTHER,,HOMEIMPROVEMENT,C,12351,11.27,0.69,N,15,0
42,76899,OTHER,18.5,EDUCATION,B,34050,8.66,0.22,N,23,0
50,27392,OWN,0.3,PERSONAL,A,1678,8.0,0.11,N,4,0
49,59724,OWN,4.3,MEDICAL,D,2906,11.43,0.46,N,19,0
61,47299,RENT,,PERSONAL,A,19691,6.14,0.42,Y,4,0
54,30641,OWN,2.4,PERSONAL,A,19648,13.17,0.3,N,7,0
26,94534,MORTGAGE,2.4,DEBTCONSOLIDATION,B,31646,16.11,0.55,N,27,0
35,21305,MORTGAGE,1.2,PERSONAL,C,3224,22.16,0.08,Y,9,0
45,113262,OWN,5.0,MEDICAL,A,10640,16.54,0.52,N,25,0
21,33782,MORTGAGE,5.1,DEBTCONSOLIDATION,A,23184,16.51,0.18,N,29,0
20,93257,MORTGAGE,1.3,MEDICAL,A,24740,12.06,0.11,N,22,0
31,92963,RENT,7.2,VENTURE,B,20030,7.77,0.75,N,18,0
24,35566,MORTGAGE,1.5,VENTURE,B,23462,13.36,0.38,N,2,0
56,82766,OTHER,5.2,VENTURE,A,1701,16.06,0.63,N,29,0
51,21511,OTHER,0.5,PERSONAL,A,10511,18.29,0.07,Y,8,0
28,41177,RENT,0.7,HOMEIMPROVEMENT,B,11051,20.1,0.05,N,19,0
60,19765,OWN,1.5,MEDICAL,D,21106,9.96,0.41,N,5,0
54,35354,RENT,3.6,VENTURE,D,13164,9.69,0.26,N,11,0
38,38929,OWN,4.1,HOMEIMPROVEMENT,E,4820,15.46,0.0,Y,6,1
35,43820,OWN,,VENTURE,A,3588,15.48,0.15,N,9,0
22,44523,OWN,0.3,VENTURE,F,9164,9.28,0.18,Y,27,0
39,86088,OWN,1.9,HOMEIMPROVEMENT,B,1660,15.86,0.24,N,26,0
43,81163,OWN,4.7,VENTURE,G,11214,11.56,0.73,N,14,0
52,92525,RENT,4.4,PERSONAL,B,4812,16.78,0.35,N,18,0
43,28780,OWN,0.7,PERSONAL,B,21345,10.58,0.56,N,26,1
30,21589,MORTGAGE,0.0,DEBTCONSOLIDATION,B,19650,15.94,0.02,Y,22,1
27,49812,MORTGAGE,5.6,PERSONAL,B,22528,19.08,0.68,N,5,1
55,108664,OWN,0.4,EDUCATION,D,31809,22.85,0.2,N,11,0
57,60939,MORTGAGE,0.3,DEBTCONSOLIDATION,D,34984,21.62,0.26,Y,22,0
59,66493,OTHER,0.0,VENTURE,G,27959,14.36,0.04,N,26,1
39,119188,RENT,2.3,EDUCATION,C,21821,14.09,0.34,N,9,0
54,108326,RENT,2.8,MEDICAL,B,34940,13.19,0.71,N,11,0
44,55953,OWN,4.1,HOMEIMPROVEMENT,A,1955,5.89,0.31,N,14,0
54,80785,OWN,1.4,MEDICAL,G,14531,8.35,0.75,N,13,0
44,34309,OTHER,5.0,EDUCATION,C,23429,6.45,0.72,N,22,0
48,69195,OWN,0.7,PERSONAL,D,32637,17.8,0.05,N,14,0
37,40901,MORTGAGE,7.1,VENTURE,B,29737,12.76,0.25,N,28,0
37,38576,OTHER,3.4,DEBTCONSOLIDATION,C,2971,6.54,0.76,N,11,0
21,46508,MORTGAGE,3.5,VENTURE,F,867,17.69,0.02,N,22,0
54,89711,RENT,0.9,PERSONAL,A,13917,16.87,0.64,N,2,1
35,40464,MORTGAGE,0.3,VENTURE,B,3874,18.22,0.75,Y,10,0
60,75281,RENT,2.5,HOMEIMPROVEMENT,A,7273,16.08,0.64,N,4,0
55,31260,MORTGAGE,3.8,HOMEIMPROVEMENT,D,14705,8.28,0.62,Y,18,0
52,50440,RENT,0.4,HOMEIMPROVEMENT,A,22869,6.49,0.7,N,22,0
23,110082,OWN,12.0,MEDICAL,A,19081,19.95,0.55,N,11,0
52,71683,MORTGAGE,15.7,PERSONAL,B,34168,9.24,0.35,N,20,0
33,56430,RENT,3.2,HOMEIMPROVEMENT,C,17076,15.06,0.05,N,7,0
40,16987,MORTGAGE,12.0,EDUCATION,B,3270,14.04,0.65,N,8,0
39,40105,OTHER,0.8,HOMEIMPROVEMENT,A,4106,21.79,0.75,N,12,0
27,93484,OWN,0.1,DEBTCONSOLIDATION,F,15178,15.23,0.42,N,17,0
26,28026,RENT,0.2,MEDICAL,F,33525,15.72,0.44,N,5,0
22,83309,OTHER,3.5,EDUCATION,B,14888,11.09,0.33,N,5,0
36,60927,MORTGAGE,0.3,PERSONAL,D,17534,22.46,0.71,Y,19,0
52,90414,OTHER,12.7,PERSONAL,C,31420,16.3,0.01,N,19,0
31,72535,MORTGAGE,0.6,DEBTCONSOLIDATION,A,15511,5.49,0.52,N,8,0
41,57946,OWN,1.5,HOMEIMPROVEMENT,B,32847,15.3,0.75,N,12,0
41,71561,OTHER,6.9,EDUCATION,B,31754,11.88,0.09,N,6,0
49,25377,OWN,1.0,DEBTCONSOLIDATION,B,33665,5.97,0.8,N,22,0
57,68592,RENT,1.1,EDUCATION,B,11606,13.08,0.8,N,29,0
57,22347,MORTGAGE,4.1,HOMEIMPROVEMENT,D,22286,19.17,0.77,N,19,0
64,48776,MORTGAGE,1.3,HOMEIMPROVEMENT,B,17444,,0.38,N,8,0
27,18783,OWN,1.0,VENTURE,C,8881,16.78,0.32,N,3,0
46,70798,OWN,1.2,VENTURE,A,11707,16.79,0.59,N,29,1
46,19298,RENT,2.7,HOMEIMPROVEMENT,C,29215,17.34,0.26,Y,6,0
53,85204,OTHER,13.5,MEDICAL,B,3871,12.3,0.06,N,6,0
40,101207,MORTGAGE,7.1,DEBTCONSOLIDATION,C,31859,,0.75,N,20,0
49,115356,MORTGAGE,1.3,VENTURE,D,7344,5.48,0.53,N,3,0
52,70161,RENT,1.8,HOMEIMPROVEMENT,D,22282,8.15,0.17,N,20,0
47,75652,RENT,2.5,EDUCATION,B,11376,22.32,0.02,Y,28,1
52,49484,OWN,15.4,DEBTCONSOLIDATION,C,23831,20.4,0.6,N,6,1
24,113614,OWN,0.8,VENTURE,F,13644,10.3,0.71,N,13,0
38,35922,OTHER,1.8,MEDICAL,C,8149,12.54,0.34,Y,14,0
23,49028,RENT,5.2,DEBTCONSOLIDATION,A,13318,22.13,0.07,N,23,0
54,35316,OTHER,13.3,DEBTCONSOLIDATION,C,32273,9.86,0.54,N,21,0
36,91996,RENT,0.7,PERSONAL,A,25630,14.88,0.25,N,8,0
63,31968,MORTGAGE,1.0,EDUCATION,E,27216,5.79,0.12,N,3,0
47,45266,RENT,1.0,MEDICAL,C,31797,16.43,0.42,N,23,0
49,110745,RENT,0.1,MEDICAL,B,19562,21.96,0.4,N,15,0
